"fullname","domainname","applicationid","isdisabled"
"System Administrator","admin@CRM855352.onmicrosoft.com",,"Enabled"
"# PpdfCDSClient","ppdfcdsclient@microsoft.com","99335b6b-7d9d-4216-8dee-883b26e0ccf7","Enabled"
"# PowerAutomate-MachineManagementRelay","PowerAutomate-MachineManagementRelay@onmicrosoft.com","5dd8e2c0-c583-4711-ba8f-d4fdb7ded207","Enabled"
"# PowerAutomate-MachineProvisioning","PowerAutomate-MachineProvisioning@onmicrosoft.com","51699864-8078-4c9e-a688-09a1db1b2e09","Enabled"
"# PowerAutomate-DesktopFlowRuntime","PowerAutomate-DesktopFlowRuntime@onmicrosoft.com","53ab501f-3793-448d-8c4e-cae80d89a8f3","Enabled"
"# PowerAutomate-DesktopFlowAI","PowerAutomate-DesktopFlowAI@onmicrosoft.com","dda20762-8b68-4af9-8796-803539494020","Enabled"
"# PowerAutomate-AiFlowsAppUser-Web","PowerAutomate-AiFlowsAppUser-Web@onmicrosoft.com","57ac09e7-b33a-4d99-86f2-d577c3617d64","Enabled"
"# PowerAutomate-AiFlowsAppUser-Worker","PowerAutomate-AiFlowsAppUser-Worker@onmicrosoft.com","5274a130-e0cd-4337-9329-b31dd4610d64","Enabled"
"Microsoft Flow","flowdev@microsoft.com","0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7","Enabled"
"# AIBuilderProd","AIBuilderProd@onmicrosoft.com","ef32e2a3-262a-44e5-a270-4dfb7b6d0bb2","Enabled"
"# AIBuilder_StructuredML_Prod_CDS","AIBuilder_StructuredML_Prod_CDS@onmicrosoft.com","be5f0473-6b57-40f8-b0a9-b3054b41b99e","Enabled"
"# AIBuilder_StructuredML_Gcc_CDS_Legacy","AIBuilder_StructuredML_Gcc_CDS_Legacy@onmicrosoft.com","8b62382d-110e-4db8-83a6-c7e8ee84296a","Enabled"
"# CAPI_Prod","CAPI_Prod@onmicrosoft.com","8f839529-6eb6-4a14-8b41-5cc3348c97b6","Enabled"
"# Microsoft Copilot Studio","MicrosoftCopilotStudio@onmicrosoft.com","96ff4394-9197-43aa-b393-6a41652e21f8","Enabled"
"# Power Policy Service CM PROD","PowerPolicyServiceCMPROD@onmicrosoft.com","342f61e2-a864-4c50-87de-86abc6790d49","Enabled"
